arquitectura,fase,semilla,objetivo_fase,checkpoint_origen,checkpoint_generado,timesteps_previstos,timesteps_registrados,directorio_tensorboard,n_archivos_eventos,csv_asociado,metricas_disponibles,estado_datos,observaciones
STH-WP,Fase 4v2,123,Combinacion de aproximacion y salida,pruebas/run002_s123_stage3v2_final.zip,pruebas/run002_s123_stage4v2_final.zip,4000000,12507136,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage4v2_run002_s123_0,1,no disponible,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,sin CSV,"No existe CSV de entrenamiento para esta fase, solo TensorBoard."
STH-WP,Fase 4v2,524,Combinacion de aproximacion y salida,pruebas/run002_s524_stage3v2_final.zip,pruebas/run002_s524_stage4v2_final.zip,4000000,12507136,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage4v2_run002_s524_0,1,no disponible,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,sin CSV,"No existe CSV de entrenamiento para esta fase, solo TensorBoard."
STH-WP,Fase 5,42,Retorno a la base (rama de retorno puro),pruebas/run002_s42_stage4v2_final.zip,pruebas/run002_s42_stage5_final.zip,2000000,14508032,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage5_run002_s42_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run002_s42_stage5.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Parte directamente de Fase 4v2. NO continua hacia Fase 6: son ramas paralelas independientes, verificado en train_stage6_s*.py."
STH-WP,Fase 5,123,Retorno a la base (rama de retorno puro),pruebas/run002_s123_stage4v2_final.zip,pruebas/run002_s123_stage5_final.zip,2000000,14508032,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage5_run002_s123_0,2,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run002_s123_stage5.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Parte directamente de Fase 4v2. NO continua hacia Fase 6: son ramas paralelas independientes, verificado en train_stage6_s*.py."
STH-WP,Fase 5,524,Retorno a la base (rama de retorno puro),pruebas/run002_s524_stage4v2_final.zip,pruebas/run002_s524_stage5_final.zip,2000000,14508032,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage5_run002_s524_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run002_s524_stage5.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Parte directamente de Fase 4v2. NO continua hacia Fase 6: son ramas paralelas independientes, verificado en train_stage6_s*.py."
STH-WP,Fase 6,42,"Ciclo completo (aproximacion + salida + retorno, entrenamiento end-to-end)",pruebas/run002_s42_stage4v2_final.zip,pruebas/run003_s42_stage6_final.zip,1000000,13508608,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage6_run003_s42_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run003_s42_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"CONFIRMADO: Fase 6 carga el checkpoint de Fase 4v2, NO el de Fase 5. Fases 5 y 6 son ramas paralelas desde un mismo origen comun, no una cadena secuencial 4v2->5->6. Existe un intento previo descartado 'run002_s{42,524}_stage6_final' (docstring desactualizado, ausente para s123) que NO se usa en este cuaderno."
STH-WP,Fase 6,123,"Ciclo completo (aproximacion + salida + retorno, entrenamiento end-to-end)",pruebas/run002_s123_stage4v2_final.zip,pruebas/run003_s123_stage6_final.zip,1000000,13508608,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage6_run003_s123_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run003_s123_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"CONFIRMADO: Fase 6 carga el checkpoint de Fase 4v2, NO el de Fase 5. Fases 5 y 6 son ramas paralelas desde un mismo origen comun, no una cadena secuencial 4v2->5->6. Existe un intento previo descartado 'run002_s{42,524}_stage6_final' (docstring desactualizado, ausente para s123) que NO se usa en este cuaderno."
STH-WP,Fase 6,524,"Ciclo completo (aproximacion + salida + retorno, entrenamiento end-to-end)",pruebas/run002_s524_stage4v2_final.zip,pruebas/run003_s524_stage6_final.zip,1000000,13508608,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/stage6_run003_s524_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_run003_s524_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"CONFIRMADO: Fase 6 carga el checkpoint de Fase 4v2, NO el de Fase 5. Fases 5 y 6 son ramas paralelas desde un mismo origen comun, no una cadena secuencial 4v2->5->6. Existe un intento previo descartado 'run002_s{42,524}_stage6_final' (docstring desactualizado, ausente para s123) que NO se usa en este cuaderno."
STH-WP,E2.1,42,Comportamiento con peaton mediante observaciones LIDAR realistas,pruebas/run003_s42_stage6_final.zip,pruebas/sthwp_e2_1_s42_final.zip,6000000,6000640,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/sthwp_e2_1_s42_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_sthwp_e2_1_s42_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Observacion de 40 dimensiones (36 LIDAR + 4 estado), LIDAR ampliado a 5.0 m, sin posicion/velocidad de peaton en la observacion de la politica, objetivos dificiles (goal_14..goal_28) ponderados 3x. MATIZ METODOLOGICO: la recompensa usa internamente la posicion del peaton via supervisor aunque la politica no la observe."
STH-WP,E2.1,123,Comportamiento con peaton mediante observaciones LIDAR realistas,pruebas/run003_s123_stage6_final.zip,pruebas/sthwp_e2_1_s123_final.zip,6000000,6000640,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/sthwp_e2_1_s123_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_sthwp_e2_1_s123_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Observacion de 40 dimensiones (36 LIDAR + 4 estado), LIDAR ampliado a 5.0 m, sin posicion/velocidad de peaton en la observacion de la politica, objetivos dificiles (goal_14..goal_28) ponderados 3x. MATIZ METODOLOGICO: la recompensa usa internamente la posicion del peaton via supervisor aunque la politica no la observe."
STH-WP,E2.1,524,Comportamiento con peaton mediante observaciones LIDAR realistas,pruebas/run003_s524_stage6_final.zip,pruebas/sthwp_e2_1_s524_final.zip,6000000,6000640,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/sthwp_e2_1_s524_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_sthwp_e2_1_s524_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Observacion de 40 dimensiones (36 LIDAR + 4 estado), LIDAR ampliado a 5.0 m, sin posicion/velocidad de peaton en la observacion de la politica, objetivos dificiles (goal_14..goal_28) ponderados 3x. MATIZ METODOLOGICO: la recompensa usa internamente la posicion del peaton via supervisor aunque la politica no la observe."
STH-WP,E2.2,42,Replanning dinamico basado en LIDAR (umbral 1.5-4.5 m),pruebas/sthwp_e2_1_s42_final.zip,pruebas/sthwp_e2_2_s42_final.zip,6000000,6000640,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/sthwp_e2_2_s42_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_sthwp_e2_2_s42_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Parte de E2.1. Filtro de deteccion dinamica LIDAR en [1.5, 4.5] m. No se presupone mejora sobre E2.1."
STH-WP,E2.2,123,Replanning dinamico basado en LIDAR (umbral 1.5-4.5 m),pruebas/sthwp_e2_1_s123_final.zip,pruebas/sthwp_e2_2_s123_final.zip,6000000,6000640,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/sthwp_e2_2_s123_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_sthwp_e2_2_s123_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Parte de E2.1. Filtro de deteccion dinamica LIDAR en [1.5, 4.5] m. No se presupone mejora sobre E2.1."
STH-WP,E2.2,524,Replanning dinamico basado en LIDAR (umbral 1.5-4.5 m),pruebas/sthwp_e2_1_s524_final.zip,pruebas/sthwp_e2_2_s524_final.zip,6000000,6000640,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/sthwp_e2_2_s524_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_sthwp_e2_2_s524_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Parte de E2.1. Filtro de deteccion dinamica LIDAR en [1.5, 4.5] m. No se presupone mejora sobre E2.1."
STH-WP,E2.2b,42,Replanning dinamico basado en LIDAR (umbral corregido 2.5-4.5 m),pruebas/sthwp_e2_1_s42_final.zip,pruebas/sthwp_e2_2b_s42_final.zip,6000000,6000640,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/sthwp_e2_2b_s42_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_sthwp_e2_2b_s42_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,Parte DIRECTAMENTE de E2.1 (no de E2.2). Umbral minimo de deteccion elevado de 1.5 a 2.5 m para reducir falsos positivos en pasillos estrechos (~2 m de ancho). No se presupone superioridad sobre E2.1.
STH-WP,E2.2b,123,Replanning dinamico basado en LIDAR (umbral corregido 2.5-4.5 m),pruebas/sthwp_e2_1_s123_final.zip,pruebas/sthwp_e2_2b_s123_final.zip,6000000,6000640,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/sthwp_e2_2b_s123_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_sthwp_e2_2b_s123_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,Parte DIRECTAMENTE de E2.1 (no de E2.2). Umbral minimo de deteccion elevado de 1.5 a 2.5 m para reducir falsos positivos en pasillos estrechos (~2 m de ancho). No se presupone superioridad sobre E2.1.
STH-WP,E2.2b,524,Replanning dinamico basado en LIDAR (umbral corregido 2.5-4.5 m),pruebas/sthwp_e2_1_s524_final.zip,pruebas/sthwp_e2_2b_s524_final.zip,6000000,6000640,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/tensorboard_logs/sthwp_e2_2b_s524_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_STHWP/stats_sthwp_e2_2b_s524_stage6.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,Parte DIRECTAMENTE de E2.1 (no de E2.2). Umbral minimo de deteccion elevado de 1.5 a 2.5 m para reducir falsos positivos en pasillos estrechos (~2 m de ancho). No se presupone superioridad sobre E2.1.
SUB-WP,Fase 1,42,Aproximacion inicial a una ubicacion,desde cero,pruebas/subwp_s42_stage1_final.zip,500000,501760,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/tensorboard_logs/stage1_subwp_s42_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/stats_subwp_s42_stage1.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Para s524 existe tambien 'stage1_subwp_s524_2' (ejecucion independiente duplicada, no una continuacion)."
SUB-WP,Fase 1,123,Aproximacion inicial a una ubicacion,desde cero,pruebas/subwp_s123_stage1_final.zip,500000,501760,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/tensorboard_logs/stage1_subwp_s123_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/stats_subwp_s123_stage1.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Para s524 existe tambien 'stage1_subwp_s524_2' (ejecucion independiente duplicada, no una continuacion)."
SUB-WP,Fase 1,524,Aproximacion inicial a una ubicacion,desde cero,pruebas/subwp_s524_stage1_final.zip,500000,501760,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/tensorboard_logs/stage1_subwp_s524_1,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/stats_subwp_s524_stage1.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,"Para s524 existe tambien 'stage1_subwp_s524_2' (ejecucion independiente duplicada, no una continuacion)."
SUB-WP,Fase 2,42,Aproximacion generalizada a las 28 ubicaciones,pruebas/subwp_s42_stage1_final.zip,pruebas/subwp_s42_stage2_final.zip,4000000,4503552,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/tensorboard_logs/stage2_subwp_s42_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/stats_subwp_s42_stage2.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,
SUB-WP,Fase 2,123,Aproximacion generalizada a las 28 ubicaciones,pruebas/subwp_s123_stage1_final.zip,pruebas/subwp_s123_stage2_final.zip,4000000,4503552,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/tensorboard_logs/stage2_subwp_s123_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/stats_subwp_s123_stage2.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,
SUB-WP,Fase 2,524,Aproximacion generalizada a las 28 ubicaciones,pruebas/subwp_s524_stage1_final.zip,pruebas/subwp_s524_stage2_final.zip,4000000,4503552,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/tensorboard_logs/stage2_subwp_s524_0,1,/Users/adrigarcia/tfm-robots-rl/simulacion/controllers/rl_train_SUB_WP_continuo/stats_subwp_s524_stage2.csv,stats/tasa_exito_%; stats/tasa_colision_%; stats/tasa_truncado_%; stats/tasa_estanteria_%; rollout/ep_rew_mean; rollout/ep_len_mean; train/value_loss; train/policy_gradient_loss; train/entropy_loss; train/approx_kl; train/clip_fraction; train/explained_variance; train/learning_rate,completo,
